solid,structure,method,eos_mesh,a_exp_A,n_requested,n_completed,n_converged_raw,n_charge_collapsed,a_eos_A,energy_fit_hartree,fit_status,fit_rmse_hartree,n_points,grid_min_a_A,grid_min_scale,grid_min_energy_hartree
C,diamond,GFN1,k444,3.553,11,11,11,0,3.5585141715,-17.085037979452,quadratic,0.002550891384,11,3.5530000000,1.00000,-17.084866272431
C,diamond,GFN2,k444,3.553,11,11,11,0,3.5549155308,-17.315820243960,quadratic,0.002470071090,11,3.5530000000,1.00000,-17.315712610976
Si,diamond,GFN1,k444,5.421,11,11,11,0,5.6186809629,-14.731778215691,quadratic,0.003130808347,11,5.5294200000,1.02000,-14.731159633135
Si,diamond,GFN2,k444,5.421,11,11,11,0,5.4461737531,-13.657395468692,quadratic,0.003604988136,11,5.4210000000,1.00000,-13.656956881336
SiC,zincblende,GFN1,k444,4.347,11,11,11,0,4.5233906186,-15.907059065762,quadratic,0.003128938809,11,4.4339400000,1.02000,-15.903484392155
SiC,zincblende,GFN2,k444,4.347,11,11,11,0,4.4127481150,-15.451557300956,quadratic,0.003779859214,11,4.4339400000,1.02000,-15.455152106108
BN,zincblende,GFN1,k444,3.593,11,11,11,0,3.6251923585,-18.821412707934,quadratic,0.002195704279,11,3.5930000000,1.00000,-18.819703456011
BN,zincblende,GFN2,k444,3.593,11,11,11,0,3.6301501363,-17.039159961680,quadratic,0.002099322028,11,3.5930000000,1.00000,-17.036975655527
BP,zincblende,GFN1,k444,4.525,11,11,11,0,4.5784968981,-16.303794509903,quadratic,0.002355911030,11,4.6155000000,1.02000,-16.305366501592
BP,zincblende,GFN2,k444,4.525,11,11,11,0,4.5501257098,-15.137369745526,quadratic,0.001770492108,11,4.5250000000,1.00000,-15.136781194170
AlN,zincblende,GFN1,k444,4.368,11,11,11,0,4.6121210683,-18.127519958174,quadratic,0.003905826786,11,4.6300800000,1.06000,-18.131825681988
AlN,zincblende,GFN2,k444,4.368,11,11,11,0,4.3128155605,-16.521261837102,quadratic,0.006003546608,11,4.2806400000,0.98000,-16.513185201782
AlP,zincblende,GFN1,k444,5.448,11,11,11,0,5.5741204174,-16.012341819396,quadratic,0.002067117372,11,5.5569600000,1.02000,-16.014190116566
AlP,zincblende,GFN2,k444,5.448,11,11,11,0,5.5449993171,-14.588003149231,quadratic,0.002363543586,11,5.5569600000,1.02000,-14.590295954890
MgS,rocksalt,GFN1,k444,5.188,11,11,11,0,5.0625026149,-18.144731389558,quadratic,0.002636475158,11,5.0842400000,0.98000,-18.141585133502
MgS,rocksalt,GFN2,k444,5.188,11,11,11,0,5.1441548971,-15.802480941804,quadratic,0.001599000620,11,5.0842400000,0.98000,-15.803652405580
LiF,rocksalt,GFN1,k444,3.973,11,11,11,0,3.7457174714,-22.594471080209,quadratic,0.005376082679,11,3.7346200000,0.94000,-22.588097619817
LiF,rocksalt,GFN2,k444,3.973,11,11,11,0,4.0040130934,-20.634667090894,quadratic,0.000573371192,11,3.9730000000,1.00000,-20.634454610948
LiCl,rocksalt,GFN1,k444,5.072,11,11,11,0,4.8091182712,-19.096386588638,quadratic,0.005315862188,11,4.7676800000,0.94000,-19.089461517703
LiCl,rocksalt,GFN2,k444,5.072,11,11,11,0,4.8300583470,-20.011466922415,quadratic,0.004436983421,11,4.7676800000,0.94000,-20.004832944274
